Timestamp,X,Y,Z
7.901,0.16519992,-0.15083471,9.801862
7.922,0.17357962,-0.15083471,9.792285
7.943,0.07062895,-0.06823475,9.703699
7.964,0.1364695,-0.11252748,9.810242
7.986,0.12330139,-0.12689269,9.738416
8.007,0.1436521,-0.15682021,9.82341
8.028,0.19153613,-0.16759412,9.81503
8.048,0.16759412,-0.15801731,9.803059
8.069,0.18555063,-0.15322891,9.7958765
8.091,0.1592144,-0.16519992,9.812635
8.112,0.17238252,-0.16400282,9.811439
8.134,0.17238252,-0.16400282,9.811439
8.156,-0.06823475,0.095768064,9.782708
8.177,0.19393034,-0.17717093,9.7084875
8.197,0.31244332,-0.22984336,9.702502
8.218,0.11133038,-0.07182605,9.710882
8.239,0.1328782,-0.1436521,9.7958765
8.261,0.19991584,-0.17118542,9.801862
8.283,0.16160862,-0.15203181,9.800665
8.305,0.17357962,-0.16519992,9.80665
8.326,0.17477672,-0.17118542,9.817424
8.349,0.16759412,-0.17118542,9.803059
8.371,0.18195933,-0.15682021,9.812635
8.393,0.16400282,-0.16759412,9.8042555
8.415,0.17357962,-0.16160862,9.805453
8.438,0.15801731,-0.1592144,9.810242
8.46,0.16998832,-0.16280572,9.7958765
8.481,0.17477672,-0.1604115,9.8042555
8.503,0.16879122,-0.16879122,9.821015
8.524,0.17357962,-0.17118542,9.80665
8.545,0.17956513,-0.15682021,9.805453
8.567,0.16160862,-0.1604115,9.807847
8.588,0.16639702,-0.15203181,9.80665
8.609,0.17477672,-0.1592144,9.812635
8.63,0.17238252,-0.1592144,9.801862
8.652,0.17597382,-0.15442601,9.8042555
8.673,0.16160862,-0.15442601,9.817424
8.694,0.16639702,-0.14963761,9.8042555
8.715,0.16639702,-0.14963761,9.8042555
8.737,0.17836803,-0.16639702,9.811439
8.758,0.17836803,-0.16639702,9.811439
8.779,0.17357962,-0.14963761,9.81503
8.8,0.17956513,-0.16639702,9.807847
8.821,0.16280572,-0.16639702,9.807847
8.842,0.17956513,-0.1592144,9.813833
8.863,0.16160862,-0.16160862,9.803059
8.884,0.16280572,-0.16759412,9.8042555
8.905,0.034715924,-0.05865794,9.783905
8.926,0.25977087,-0.22744916,9.774328
8.947,0.2621651,-0.22266077,9.81503
8.968,0.12808979,-0.1388637,9.781511
8.989,0.18794483,-0.15801731,9.783905
9.01,0.19393034,-0.16160862,9.801862
9.031,0.16998832,-0.1604115,9.807847
9.052,0.17477672,-0.1592144,9.810242
9.073,0.16879122,-0.16998832,9.805453
9.094,0.16639702,-0.17717093,9.8042555
9.115,0.16759412,-0.16879122,9.80665
9.136,0.16639702,-0.1604115,9.797073
9.157,0.24899697,-0.19991584,9.753978
9.178,0.17956513,-0.17477672,9.829395
9.198,0.19991584,-0.18914193,9.831789
9.22,0.19273324,-0.17836803,9.80665
9.241,0.16639702,-0.1400608,9.810242
9.263,0.17477672,-0.16280572,9.79827
9.287,0.17477672,-0.16280572,9.79827
9.308,0.17717093,-0.15801731,9.803059
9.329,0.16400282,-0.1604115,9.805453
9.35,0.16639702,-0.16280572,9.807847
9.371,0.17477672,-0.16639702,9.812635
9.392,0.1604115,-0.15442601,9.793482
9.413,0.19393034,-0.16519992,9.800665
9.434,0.19153613,-0.17477672,9.834184
9.456,0.1604115,-0.1400608,9.755175
9.477,0.1604115,-0.15203181,9.82341
9.498,0.16160862,-0.16280572,9.80665
9.519,0.16759412,-0.14724341,9.807847
9.54,0.18195933,-0.1592144,9.80665
9.561,0.16400282,-0.16519992,9.80665
9.582,0.16400282,-0.16519992,9.80665
9.605,0.17238252,-0.16280572,9.810242
9.626,0.17357962,-0.15801731,9.848549
9.647,0.20709845,-0.17956513,9.781511
